  1.0000000000000E+00 -9.0000000000000E+00 -7.5162581964041E+00  1.4837418035959E+00
  1.0016666666667E+00 -8.9983333333333E+00 -7.5346708967225E+00  1.4636624366108E+00
  1.0033333333333E+00 -8.9966666666667E+00 -7.5530810840225E+00  1.4435855826441E+00
  1.0050000000000E+00 -8.9950000000000E+00 -7.5714887587230E+00  1.4235112412770E+00
  1.0066666666667E+00 -8.9933333333333E+00 -7.5898939212425E+00  1.4034394120908E+00
  1.0083333333333E+00 -8.9916666666667E+00 -7.6082965719999E+00  1.3833700946668E+00
  1.0100000000000E+00 -8.9900000000000E+00 -7.6266967114136E+00  1.3633032885864E+00
  1.0116666666667E+00 -8.9883333333333E+00 -7.6450943399022E+00  1.3432389934311E+00
  1.0133333333333E+00 -8.9866666666667E+00 -7.6634894578842E+00  1.3231772087825E+00
  1.0150000000000E+00 -8.9850000000000E+00 -7.6818820657779E+00  1.3031179342221E+00
  1.0166666666667E+00 -8.9833333333333E+00 -7.7002721640017E+00  1.2830611693316E+00
  1.0183333333333E+00 -8.9816666666667E+00 -7.7186597529738E+00  1.2630069136929E+00
  1.0200000000000E+00 -8.9800000000000E+00 -7.7370448331123E+00  1.2429551668877E+00
  1.0216666666667E+00 -8.9783333333333E+00 -7.7554274048354E+00  1.2229059284979E+00
  1.0233333333333E+00 -8.9766666666667E+00 -7.7738074685611E+00  1.2028591981055E+00
  1.0250000000000E+00 -8.9750000000000E+00 -7.7921850247074E+00  1.1828149752926E+00
  1.0266666666667E+00 -8.9733333333333E+00 -7.8105600736922E+00  1.1627732596411E+00
  1.0283333333333E+00 -8.9716666666667E+00 -7.8289326159333E+00  1.1427340507334E+00
  1.0300000000000E+00 -8.9700000000000E+00 -7.8473026518484E+00  1.1226973481516E+00
  1.0316666666667E+00 -8.9683333333333E+00 -7.8656701818552E+00  1.1026631514782E+00
  1.0333333333333E+00 -8.9666666666667E+00 -7.8840352063714E+00  1.0826314602953E+00
  1.0350000000000E+00 -8.9650000000000E+00 -7.9023977258145E+00  1.0626022741855E+00
  1.0366666666667E+00 -8.9633333333333E+00 -7.9207577406019E+00  1.0425755927314E+00
  1.0383333333333E+00 -8.9616666666667E+00 -7.9391152511512E+00  1.0225514155155E+00
  1.0400000000000E+00 -8.9600000000000E+00 -7.9574702578795E+00  1.0025297421205E+00
  1.0416666666667E+00 -8.9583333333333E+00 -7.9758227612043E+00  9.8251057212906E-01
  1.0433333333333E+00 -8.9566666666667E+00 -7.9941727615426E+00  9.6249390512405E-01
  1.0450000000000E+00 -8.9550000000000E+00 -8.0125202593117E+00  9.4247974068831E-01
  1.0466666666667E+00 -8.9533333333333E+00 -8.0308652549285E+00  9.2246807840480E-01
  1.0483333333333E+00 -8.9516666666667E+00 -8.0492077488101E+00  9.0245891785653E-01
  1.0500000000000E+00 -8.9500000000000E+00 -8.0675477413734E+00  8.8245225862656E-01
  1.0516666666667E+00 -8.9483333333333E+00 -8.0858852330353E+00  8.6244810029805E-01
  1.0533333333333E+00 -8.9466666666667E+00 -8.1042202242125E+00  8.4244644245422E-01
  1.0550000000000E+00 -8.9450000000000E+00 -8.1225527153217E+00  8.2244728467833E-01
  1.0566666666667E+00 -8.9433333333333E+00 -8.1408827067795E+00  8.0245062655378E-01
  1.0583333333333E+00 -8.9416666666667E+00 -8.1592101990027E+00  7.8245646766398E-01
  1.0600000000000E+00 -8.9400000000000E+00 -8.1775351924076E+00  7.6246480759239E-01
  1.0616666666667E+00 -8.9383333333333E+00 -8.1958576874107E+00  7.4247564592264E-01
  1.0633333333333E+00 -8.9366666666667E+00 -8.2141776844283E+00  7.2248898223833E-01
  1.0650000000000E+00 -8.9350000000000E+00 -8.2324951838768E+00  7.0250481612315E-01
  1.0666666666667E+00 -8.9333333333333E+00 -8.2508101861725E+00  6.8252314716088E-01
  1.0683333333333E+00 -8.9316666666667E+00 -8.2691226917313E+00  6.6254397493539E-01
  1.0700000000000E+00 -8.9300000000000E+00 -8.2874327009694E+00  6.4256729903056E-01
  1.0716666666667E+00 -8.9283333333333E+00 -8.3057402143030E+00  6.2259311903037E-01
  1.0733333333333E+00 -8.9266666666667E+00 -8.3240452321478E+00  6.0262143451891E-01
  1.0750000000000E+00 -8.9250000000000E+00 -8.3423477549197E+00  5.8265224508027E-01
  1.0766666666667E+00 -8.9233333333333E+00 -8.3606477830347E+00  5.6268555029862E-01
  1.0783333333333E+00 -8.9216666666667E+00 -8.3789453169084E+00  5.4272134975825E-01
  1.0800000000000E+00 -8.9200000000000E+00 -8.3972403569565E+00  5.2275964304350E-01
  1.0816666666667E+00 -8.9183333333333E+00 -8.4155329035946E+00  5.0280042973871E-01
  1.0833333333333E+00 -8.9166666666667E+00 -8.4338229572383E+00  4.8284370942841E-01
  1.0850000000000E+00 -8.9150000000000E+00 -8.4521105183029E+00  4.6288948169710E-01
  1.0866666666667E+00 -8.9133333333333E+00 -8.4703955872040E+00  4.4293774612937E-01
  1.0883333333333E+00 -8.9116666666667E+00 -8.4886781643567E+00  4.2298850230996E-01
  1.0900000000000E+00 -8.9100000000000E+00 -8.5069582501765E+00  4.0304174982354E-01
  1.0916666666667E+00 -8.9083333333333E+00 -8.5252358450784E+00  3.8309748825496E-01
  1.0933333333333E+00 -8.9066666666667E+00 -8.5435109494776E+00  3.6315571718909E-01
  1.0950000000000E+00 -8.9050000000000E+00 -8.5617835637891E+00  3.4321643621089E-01
  1.0966666666667E+00 -8.9033333333333E+00 -8.5800536884280E+00  3.2327964490537E-01
  1.0983333333333E+00 -8.9016666666667E+00 -8.5983213238090E+00  3.0334534285763E-01
  1.1000000000000E+00 -8.9000000000000E+00 -8.6165864703472E+00  2.8341352965282E-01
  1.1016666666667E+00 -8.8983333333333E+00 -8.6348491284572E+00  2.6348420487616E-01
  1.1033333333333E+00 -8.8966666666667E+00 -8.6531092985537E+00  2.4355736811297E-01
  1.1050000000000E+00 -8.8950000000000E+00 -8.6713669810514E+00  2.2363301894860E-01
  1.1066666666667E+00 -8.8933333333333E+00 -8.6896221763649E+00  2.0371115696847E-01
  1.1083333333333E+00 -8.8916666666667E+00 -8.7078748849085E+00  1.8379178175812E-01
  1.1100000000000E+00 -8.8900000000000E+00 -8.7261251070969E+00  1.6387489290311E-01
  1.1116666666667E+00 -8.8883333333333E+00 -8.7443728433443E+00  1.4396048998906E-01
  1.1133333333333E+00 -8.8866666666667E+00 -8.7626180940650E+00  1.2404857260168E-01
  1.1150000000000E+00 -8.8850000000000E+00 -8.7808608596732E+00  1.0413914032678E-01
  1.1166666666667E+00 -8.8833333333333E+00 -8.7991011405831E+00  8.4232192750207E-02
  1.1183333333333E+00 -8.8816666666667E+00 -8.8173389372088E+00  6.4327729457844E-02
  1.1200000000000E+00 -8.8800000000000E+00 -8.8355742499643E+00  4.4425750035728E-02
  1.1216666666667E+00 -8.8783333333333E+00 -8.8538070792635E+00  2.4526254069883E-02
  1.1233333333333E+00 -8.8766666666667E+00 -8.8720374255202E+00  4.6292411464179E-03
  1.1250000000000E+00 -8.8750000000000E+00 -8.8902652891484E+00 -1.5265289148431E-02
  1.1266666666667E+00 -8.8733333333333E+00 -8.9084906705618E+00 -3.5157337228426E-02
  1.1283333333333E+00 -8.8716666666667E+00 -8.9267135701739E+00 -5.5046903507247E-02
  1.1300000000000E+00 -8.8700000000000E+00 -8.9449339883985E+00 -7.4933988398456E-02
  1.1316666666667E+00 -8.8683333333333E+00 -8.9631519256489E+00 -9.4818592315605E-02
  1.1333333333333E+00 -8.8666666666667E+00 -8.9813673823388E+00 -1.1470071567216E-01
  1.1350000000000E+00 -8.8650000000000E+00 -8.9995803588815E+00 -1.3458035888149E-01
  1.1366666666667E+00 -8.8633333333333E+00 -9.0177908556903E+00 -1.5445752235695E-01
  1.1383333333333E+00 -8.8616666666667E+00 -9.0359988731785E+00 -1.7433220651179E-01
  1.1400000000000E+00 -8.8600000000000E+00 -9.0542044117592E+00 -1.9420441175917E-01
  1.1416666666667E+00 -8.8583333333333E+00 -9.0724074718456E+00 -2.1407413851222E-01
  1.1433333333333E+00 -8.8566666666667E+00 -9.0906080538507E+00 -2.3394138718399E-01
  1.1450000000000E+00 -8.8550000000000E+00 -9.1088061581875E+00 -2.5380615818747E-01
  1.1466666666667E+00 -8.8533333333333E+00 -9.1270017852689E+00 -2.7366845193556E-01
  1.1483333333333E+00 -8.8516666666667E+00 -9.1451949355078E+00 -2.9352826884110E-01
  1.1500000000000E+00 -8.8500000000000E+00 -9.1633856093169E+00 -3.1338560931687E-01
  1.1516666666667E+00 -8.8483333333333E+00 -9.1815738071089E+00 -3.3324047377556E-01
  1.1533333333333E+00 -8.8466666666667E+00 -9.1997595292965E+00 -3.5309286262979E-01
  1.1550000000000E+00 -8.8450000000000E+00 -9.2179427762922E+00 -3.7294277629219E-01
  1.1566666666667E+00 -8.8433333333333E+00 -9.2361235485085E+00 -3.9279021517520E-01
  1.1583333333333E+00 -8.8416666666667E+00 -9.2543018463579E+00 -4.1263517969125E-01
  1.1600000000000E+00 -8.8400000000000E+00 -9.2724776702527E+00 -4.3247767025274E-01
